date,NO2
2024-11-14,3.439731153775938e-05
2024-11-15,3.516481592669152e-05
2024-11-16,3.7460481053130934e-05
2024-11-17,3.975614617957035e-05
2024-11-18,4.205181130600977e-05
2024-11-19,4.4347476432449184e-05
2024-11-20,5.4920798447710695e-05
2024-11-21,6.54941204629722e-05
2024-11-22,7.606744247823372e-05
2024-11-23,8.664076449349523e-05
2024-11-24,8.439003484174743e-05
2024-11-25,8.213930518999965e-05
2024-11-26,7.988857553825185e-05
2024-11-27,7.763784588650406e-05
2024-11-28,7.538711623475628e-05
2024-11-29,7.313638658300848e-05
2024-11-30,7.088565693126069e-05
2024-12-01,6.863492727951289e-05
2024-12-02,6.638419762776511e-05
2024-12-03,6.413346797601732e-05
2024-12-04,6.188273832426954e-05
2024-12-05,5.963200867252174e-05
2024-12-06,5.7381279020773945e-05
2024-12-07,5.513054936902616e-05
2024-12-08,5.287981971727836e-05
2024-12-09,5.0629090065530574e-05
2024-12-10,4.8378360413782786e-05
2024-12-11,4.612763076203499e-05
2024-12-12,4.38769011102872e-05
2024-12-13,4.162617145853941e-05
2024-12-14,3.937544180679162e-05
2024-12-15,3.712471215504383e-05
2024-12-16,3.4873982503296036e-05
2024-12-17,3.262325285154825e-05
2024-12-18,3.037252319980046e-05
2024-12-19,2.8121793548052665e-05
2024-12-20,2.9237156261594713e-05
2024-12-21,3.035251897513676e-05
2024-12-22,3.146788168867881e-05
2024-12-23,3.2583244402220856e-05
2024-12-24,3.36986071157629e-05
2024-12-25,3.481396982930495e-05
2024-12-26,3.592933254284699e-05
2024-12-27,3.704469525638904e-05
2024-12-28,3.816005796993109e-05
2024-12-29,3.9275420683473136e-05
2024-12-30,4.0390783397015184e-05
2024-12-31,4.281916471882141e-05
2025-01-01,4.524754604062764e-05
2025-01-02,4.767592736243387e-05
2025-01-03,5.0104308684240095e-05
2025-01-04,6.842025686637498e-05
2025-01-05,8.673620504850987e-05
2025-01-06,0.00010505215323064476
2025-01-07,0.0001003766033136344
2025-01-08,9.570105339662405e-05
2025-01-09,9.102550347961369e-05
2025-01-10,8.634995356260333e-05
2025-01-11,8.167440364559297e-05
2025-01-12,7.699885372858262e-05
2025-01-13,7.232330381157226e-05
2025-01-14,6.76477538945619e-05
2025-01-15,6.297220397755154e-05
2025-01-16,5.8296654060541186e-05
2025-01-17,5.362110414353083e-05
2025-01-18,4.894555422652047e-05
2025-01-19,5.158552630746272e-05
2025-01-20,4.0061782783595845e-05
2025-01-21,2.8538039259728976e-05
2025-01-22,2.8910329749325887e-05
2025-01-23,2.9282620238922795e-05
2025-01-24,2.9654910728519706e-05
2025-01-25,3.0027201218116614e-05
2025-01-26,3.0399491707713525e-05
2025-01-27,3.0771782197310436e-05
2025-01-28,3.114407268690734e-05
2025-01-29,3.151636317650425e-05
2025-01-30,3.188865366610116e-05
2025-01-31,3.2260944155698074e-05
2025-02-01,3.2633234645294986e-05
2025-02-02,3.300552513489189e-05
2025-02-03,3.33778156244888e-05
2025-02-04,3.375010611408571e-05
2025-02-05,3.4122396603682624e-05
2025-02-06,3.449468709327953e-05
2025-02-07,3.486697758287644e-05
2025-02-08,3.523926807247335e-05
2025-02-09,4.458989928934898e-05
2025-02-10,5.3940530506224604e-05
2025-02-11,6.329116172310023e-05
2025-02-12,7.264179293997586e-05
2025-02-13,6.287137512117624e-05
2025-02-14,5.310095730237663e-05
2025-02-15,4.333053948357701e-05
2025-02-16,3.9817250581108965e-05
2025-02-17,4.0486455625134774e-05
2025-02-18,4.115566066916058e-05
2025-02-19,4.182486571318639e-05
2025-02-20,4.24940707572122e-05
2025-02-21,4.3163275801238015e-05
2025-02-22,4.383248084526382e-05
2025-02-23,4.450168588928963e-05
2025-02-24,4.517089093331544e-05
2025-02-25,4.584009597734125e-05
2025-02-26,4.650930102136706e-05
2025-02-27,4.717850606539287e-05
2025-02-28,5.176926333660958e-05
2025-03-01,5.63600206078263e-05
2025-03-02,4.427666499395855e-05
2025-03-03,3.622066287789494e-05
2025-03-04,3.7378968045231886e-05
2025-03-05,3.8537273212568834e-05
2025-03-06,3.565179910462272e-05
2025-03-07,3.276632499667661e-05
2025-03-08,2.9880850888730492e-05
2025-03-09,2.6995376780784376e-05
2025-03-10,2.4109902672838263e-05
2025-03-11,2.122442856489215e-05
2025-03-12,0.00010420879698358476
2025-03-13,9.52296102493872e-05
2025-03-14,8.625042351518964e-05
2025-03-15,7.72712367809921e-05
2025-03-16,6.829205004679452e-05
2025-03-17,5.931286331259697e-05
2025-03-18,5.033367657839942e-05
2025-03-19,4.135448984420186e-05
2025-03-20,3.23753031100043e-05
2025-03-21,2.339611637580674e-05
2025-03-22,2.4675335589563473e-05
2025-03-23,2.5954554803320207e-05
2025-03-24,2.723377401707694e-05
2025-03-25,2.8512993230833673e-05
2025-03-26,2.9792212444590405e-05
2025-03-27,6.272408245422412e-05
2025-03-28,6.064128882082348e-05
2025-03-29,5.855849518742285e-05
2025-03-30,5.647570155402222e-05
2025-03-31,5.439290792062159e-05
2025-04-01,5.2310114287220955e-05
2025-04-02,5.022732065382033e-05
2025-04-03,4.8144527020419694e-05
2025-04-04,4.606173338701906e-05
2025-04-05,4.397893975361843e-05
2025-04-06,4.189614612021779e-05
2025-04-07,3.9813352486817166e-05
2025-04-08,4.6350985940080136e-05
2025-04-09,3.8156074879225343e-05
2025-04-10,7.598027877975255e-05
2025-04-11,0.00011380448268027976
2025-04-12,0.00010794183071993757
2025-04-13,0.00010207917875959538
2025-04-14,9.621652679925319e-05
2025-04-15,9.0353874838911e-05
2025-04-16,8.44912228785688e-05
2025-04-17,7.862857091822661e-05
2025-04-18,7.90158737800084e-05
2025-04-19,7.94031766417902e-05
2025-04-20,7.277541468890074e-05
2025-04-21,6.614765273601127e-05
2025-04-22,5.951989078312181e-05
2025-04-23,5.933395940311519e-05
2025-04-24,5.914802802310858e-05
2025-04-25,5.896209664310196e-05
2025-04-26,5.877616526309534e-05
2025-04-27,5.859023388308872e-05
2025-04-28,5.8404302503082105e-05
2025-04-29,5.8218371123075485e-05
2025-04-30,6.630022107856348e-05
2025-05-01,6.288525037234649e-05
2025-05-02,5.94702796661295e-05
2025-05-03,5.605530895991251e-05
2025-05-04,3.430543620197568e-05
2025-05-05,5.628994040307589e-05
2025-05-06,6.158090945973527e-05
2025-05-07,6.687187851639464e-05
2025-05-08,6.71528687234968e-05
2025-05-09,6.743385893059894e-05
2025-05-10,6.77148491377011e-05
2025-05-11,6.83855917789818e-05
2025-05-12,6.905633442026253e-05
2025-05-13,6.972707706154324e-05
2025-05-14,7.183473644545302e-05
2025-05-15,6.698639936075779e-05
2025-05-16,6.213806227606256e-05
2025-05-17,5.0907215154438745e-05
2025-05-18,3.9676368032814935e-05
2025-05-19,4.82347192397962e-05
2025-05-20,5.6793070446777463e-05
2025-05-21,6.535142165375873e-05
2025-05-22,6.0359868257364724e-05
2025-05-23,5.536831486097071e-05
2025-05-24,5.03767614645767e-05
2025-05-25,4.538520806818269e-05
2025-05-26,5.410316710670789e-05
2025-05-27,6.28211261452331e-05
2025-05-28,7.153908518375829e-05
2025-05-29,6.509863351311651e-05
2025-05-30,5.865818184247473e-05
2025-05-31,5.2217730171832955e-05
2025-06-01,4.5777278501191176e-05
2025-06-02,3.93368268305494e-05
2025-06-03,3.289637515990762e-05
2025-06-04,8.249477468780242e-05
2025-06-05,6.987096912780544e-05
2025-06-06,5.724716356780846e-05
2025-06-07,5.5055771554179955e-05
2025-06-08,5.2864379540551454e-05
2025-06-09,5.067298752692295e-05
2025-06-10,4.848159551329445e-05
2025-06-11,3.78950398953748e-05
2025-06-12,3.5805980587610975e-05
2025-06-13,2.5632218239479695e-05
2025-06-14,4.11711007473059e-05
2025-06-15,3.074509822909022e-05
2025-06-16,4.355118107923772e-05
2025-06-17,4.4184079342812765e-05
2025-06-18,4.481697760638781e-05
2025-06-19,5.208381602036146e-05
2025-06-20,5.9350654434335105e-05
2025-06-21,6.661749284830876e-05
2025-06-22,6.26981673121918e-05
2025-06-23,5.877884177607484e-05
2025-06-24,5.296609469951363e-05
2025-06-25,4.7153347622952424e-05
2025-06-26,4.1340600546391215e-05
2025-06-27,3.5527853469830006e-05
2025-06-28,3.550395376805682e-05
2025-06-29,3.548005406628363e-05
2025-06-30,5.8891148000839166e-05
2025-07-01,5.18228771397844e-05
2025-07-02,6.452941488532815e-05
2025-07-03,6.569496933176804e-05
2025-07-04,6.68605237782079e-05
2025-07-05,6.802607822464779e-05
2025-07-06,5.0419550916558364e-05
2025-07-07,3.281302360846894e-05
2025-07-08,5.960979251540266e-05
2025-07-09,9.336397488368676e-05
2025-07-10,7.696548618696397e-05
2025-07-11,6.056699749024119e-05
2025-07-12,3.7288639305188553e-05
2025-07-13,1.4010281120135916e-05
2025-07-14,5.4146699312696e-05
2025-07-15,9.428311750525609e-05
2025-07-16,7.773028482915834e-05
2025-07-17,6.117745215306059e-05
2025-07-18,8.874561899574474e-05
2025-07-19,0.00011631378583842888
2025-07-20,7.82767547207186e-05
2025-07-21,7.900554555817507e-05
2025-07-22,5.382491690397728e-05
2025-07-23,5.812653762404807e-05
2025-07-24,5.81676431465894e-05
2025-07-25,3.816823664237745e-05
2025-07-26,6.558766472153366e-05
2025-07-27,5.215222518017981e-05
2025-07-28,5.941790732322261e-05
2025-07-29,5.059649811300915e-05
2025-07-30,4.177508890279569e-05
2025-07-31,4.154864745942177e-05
2025-08-01,2.380916339461692e-05
2025-08-02,3.500014190649381e-05
2025-08-03,3.243020637455629e-05
2025-08-04,5.300095472193789e-05
2025-08-05,6.090527676860802e-05
2025-08-06,6.880959881527815e-05
2025-08-07,9.69984394032508e-05
2025-08-08,9.316909563494846e-05
2025-08-09,8.216295827878639e-05
2025-08-10,4.766039273818024e-05
2025-08-11,6.21900526311947e-05
2025-08-12,4.678174991568085e-05
2025-08-13,3.369223304616753e-05
2025-08-14,3.965857922594296e-05
2025-08-15,4.562492540571839e-05
2025-08-16,7.838076271582395e-05
2025-08-17,4.607249957189197e-05
2025-08-18,3.009846977874986e-05
2025-08-19,1.412443998560775e-05
2025-08-20,2.6320012693759054e-05
2025-08-21,3.851558540191036e-05
2025-08-22,5.071115811006166e-05
2025-08-23,6.290673081821296e-05
2025-08-24,6.858325377834262e-05
2025-08-25,7.425977673847228e-05
2025-08-26,5.516366763913538e-05
2025-08-27,5.582785934166168e-05
2025-08-28,5.6492051044187974e-05
2025-08-29,5.715624274671427e-05
2025-08-30,5.7820434449240565e-05
2025-08-31,3.161554195685312e-05
2025-09-01,2.170992229366675e-05
2025-09-02,1.2542569265860948e-05
2025-09-03,4.027668182970956e-05
2025-09-04,2.8912615562148854e-05
2025-09-05,4.733101680661396e-05
2025-09-06,6.574941805107906e-05
2025-09-07,8.416781929554418e-05
2025-09-08,6.844766267022351e-05
2025-09-09,5.272750604490284e-05
2025-09-10,3.700734941958217e-05
2025-09-11,3.483174259599764e-05
2025-09-12,5.2127603339613415e-05
2025-09-13,4.047214315505698e-05
2025-09-14,3.476960318948841e-05
2025-09-15,9.121820403379388e-05
2025-09-16,8.194258589355741e-05
2025-09-17,7.266696775332093e-05
2025-09-18,4.958104000252206e-05
2025-09-19,2.072719144052826e-05
2025-09-20,4.0718410673434846e-05
2025-09-21,4.086545595782809e-05
2025-09-22,5.5390933994203806e-05
2025-09-23,0.00019024391076527536
2025-09-24,0.00013196006693760864
2025-09-25,5.434446757135447e-05
2025-09-26,4.717935917142313e-05
2025-09-27,4.505442120716907e-05
2025-09-28,2.388708617218072e-05
2025-09-29,4.156536851951387e-05
